개별감독,누적관객수
최동훈,8451409528
봉준호,7361647730
김한민,5110686484
윤제균,4426502589
강형철,4369864486
김용화,4010595656
추창민,3420231776
김지운,3360850014
류승완,3338520374
양우석,3221172605
이정범,2891906072
이준익,2416068699
연상호,2415025016
나홍진,2391056460
한재림,2303394410
황동혁,1980361299
윤종빈,1744776506
장훈,1742227732
김광식,1737223622
강우석,1728273538
이재한,1658293204
박광현,1534175158
김대우,1434697115
조의석,1387151158
김성훈,1336904309
강제규,1318708136
김지훈,1255951959
박정우,1251162716
조성희,1233464817
우민호,1208429686
박찬욱,1184122833
김유진,1163270992
이석훈,1058569918
김병서,1024574490
장철수,1002107952
이환경,964803337
유하,943192284
이해영,928033370
이한,894088050
박훈정,842203938
허진호,837570013
김석윤,790138102
조범구,772439370
김성수,740572588
이일형,679530670
김현석,679068404
원신연,655302385
민규동,652934995
이재규,648683902
박진표,639619724
곽경택,636978420
이용주,627775680
장재현,620501620
신태라,595316528
이언희,572550110
전윤수,570426322
장진,532230122
조근현,500083610
김주호,490994350
백,427679096
김대승,418358272
강윤성,385310576
이연우,378558882
정병길,378363423
임순례,376250746
장준환,375301308
정용기,365450699
김정훈,364672960
창,361632424
김동원,343318374
황인호,337124247
김홍선,334240630
최호,324834950
김병우,324118468
강석범,306769456
변성현,296062652
김민석,289765068
박대민,288635985
정윤철,270552124
김진영,269649402
이계벽,267980796
박희곤,265965262
한동욱,253403584
임상수,251741756
송해성,250338525
안권태,237728175
정지영,235282584
문현성,234453265
김태균,232935081
김학순,229703236
허종호,226125048
김주환,214830872
김상진,212715058
김태곤,210841700
권수경,203564262
조정래,200881940
최성현,198345674
장유정,196167260
장윤현,193978591
이명세,193683714
정기훈,193509940
강대규,193161120
황병국,185879363
이승준,185542308
임찬상,184014860
변영주,180684861
신정원,176451813
권종관,175423640
최국희,169774770
조동오,165602168
김영탁,165241668
곽재용,163918480
안상훈,163550954
정지우,160842680
노동석,158175912
이규만,157000580
나현,152458644
전계수,151906876
홍지영,149555576
김태윤,148645284
권혁재,147472320
이해준,140008166
이병헌,139470649
박광춘,139019174
허정,138210880
조진규,136425504
이원석,134629202
홍창표,131331466
이재용,130239889
김정우,130104639
공수창,129303770
이정호,128810180
정범식,126427296
강효진,126340918
김용균,124397801
조원희,124303776
김휘,122127391
양윤호,121209750
이권,118295382
장문일,117919551
오기환,109293142
이상기,105656496
변혁,104857472
김상만,101964199
이호재,101512390
김형준,100152112
방은진,99741603
노덕,98783679
신한솔,96003326
이석근,95912946
정윤수,93468386
라희찬,92256252
김봉주,89246864
손영성,88544811
장규성,88204455
김형주,88013352
박건용,86953804
권호영,86455965
이경미,85373787
부지영,84661486
이현석,80313272
한준희,79495938
손재곤,76743570
