개별배급사,누적관객수
씨제이이앤엠(주),53596690224
(주)쇼박스,30684455080
(주)넥스트엔터테인먼트월드(NEW),18034379946
롯데컬처웍스(주)롯데엔터테인먼트,13591607126
(주)시네마서비스,3325020082
이십세기폭스코리아(주),1800567018
메가박스중앙(주)플러스엠,1130019143
워너브러더스 코리아(주),841347524
(주)싸이더스,741617424
아이러브시네마,397549735
(주)시너지하우스 (시너지),386939282
CGV아트하우스,382009165
(주)프라임엔터테인먼트,380004145
에스케이텔레콤(주),362094286
(주)리틀빅픽쳐스,339854353
영화사청어람(주),309764705
코리아픽쳐스(주),277615621
에스케이플래닛(주),269976420
(주)와우픽쳐스,265998190
(주)인벤트스톤,260216757
쇼이스트(주),231336545
씨네그루(주)다우기술,214974888
필라멘트픽쳐스,194224464
(주)키위미디어그룹,192655288
오퍼스픽쳐스(유),167903428
(유)씨에이치엔터테인먼트,160626544
씨너스엔터테인먼트(주),154881046
(주)엠케이픽처스,134032036
(주)에스비에스콘텐츠허브,118566736
㈜스튜디오이쩜영,114605720
(주)엠케이픽처스 ,112319406
(주)두엔터테인먼트,112319406
씨네그루(주)키다리이엔티,107023010
(주)벤티지홀딩스,97022190
(주)제이앤씨미디어그룹,64585032
타임스토리그룹(주),64217968
TCO(주)더콘텐츠온,62151888
주식회사 키위컴퍼니,41699322
(주)스튜디오210,40040568
(주)콘텐츠 난다긴다,32820200
유나이티드픽처스(주),28436880
(주)마인스 엔터테인먼트,28291015
(주)튜브엔터테인먼트,27807407
영화사올(주),18450790
(주)엠플러스픽쳐스,16069798
(주)박수엔터테인먼트,15281547
(주)이수C&E,14635254
(주)그노스,14351304
(주)나이너스엔터테인먼트,12646732
(주)화앤담이엔티,11916334
(주)스튜디오이쩜영,9927582
(주)엠엔에프씨,9457948
(주)성원아이컴,9346960
(주)프레인글로벌,8989078
실버스푼,8132408
프라임픽쳐스,7824411
영화사 풀,7422008
판씨네마(주),7276143
(주)스톰픽쳐스코리아,6887074
(주)레드로버,6215472
(주)대명문화공장,5149744
브에나비스타인터내셔널코리아,4867832
(주)페퍼민트앤컴퍼니,2837450
월트디즈니컴퍼니코리아 유한책임회사,2835090
(주)스마일이엔티,2694720
(주)디스테이션,2357180
㈜케이디미디어,2188614
(주)영화사한결,1726596
(합)알지애니메이션스튜디오,1568340
무비즈엔터테인먼트㈜,1433887
(주)삼지애니메이션,1304832
파이오니아21,1137552
에이원엔터테인먼트,932553
힘컨텐츠(주),726732
예지림엔터테인먼트,227404
