개별감독,누적매출액,누적관객수,스크린수
김용화,324232831446,42490775,2932
최동훈,278546424681,38384287,5
류승완,254279926855,33819489,3397
봉준호,239338743762,33304360,1972
이준익,216331466032,31106144,1761
윤제균,207773462330,28172188,351
김한민,209221132810,27800092,1393
이석훈,166082380721,21957653,2196
강형철,153003973819,21165349,1480
김성훈,165830830661,20674090,1644
장훈,157992128249,20551335,8
이병헌,172995530577,20503894,3914
강우석,140024582958,20455384,1979
김지운,133893067404,18113517,1327
황동혁,135151845641,18073066,1573
한재림,125510237925,16939321,650
추창민,112595209496,15957091,1052
양우석,118362800254,15827742,2
이환경,105224365170,14985191,607
김지훈,103820318600,14704912,839
윤종빈,116395265815,14481845,26
곽경택,101331333045,14454555,4434
나홍진,107348432882,14186597,922
우민호,106810365574,13344697,2495
이한,94905155918,13064925,2462
조의석,98395846944,12820747,1256
연상호,100670271660,12557445,1113
이재한,91279045203,12319643,209
김석윤,90871685692,11902493,2868
박훈정,86900939835,11052225,3007
정용기,71375684400,11020157,1776
김현석,79764583906,10870655,1942
박찬욱,75753789584,10479540,96
심형래,67852075700,10397077,1169
유하,70397565999,9988720,1964
민규동,70122005859,9835375,640
이일형,77320403264,9707581,1812
박진표,65763272087,9701652,1686
장준환,75865459940,9626874,2116
박정우,70826389628,9527818,280
원신연,68965460792,9439228,2194
장진,62827760799,9209702,2642
이재규,74252008364,9143854,8
박광현,60474060087,8952490,2
조성희,60981653745,8500313,3
이계벽,64823320256,8315404,203
임순례,57540761487,8113858,1526
강윤성,65544588259,7974222,2280
장재현,62420460786,7841751,1175
김동원,50852242871,7808890,1321
허진호,59474246839,7799500,971
이정범,57121056378,7510562,1343
김병우,53895792805,7255843,894
김태균,53660336548,7044625,2618
조범구,53905860656,7030658,695
장철수,48735214913,6963821,6
허정,49944778583,6910544,712
김대우,48719994100,6731914,3
신태라,44978451996,6709388,1241
김광식,55453754113,6662447,562
김성수,47720590762,6552622,859
이해영,52152697013,6330519,403
송해성,41222314653,6178177,999
김학순,45567290830,6044956,2
정윤철,38053352902,5891113,985
강제규,40423818643,5854465,647
김대승,40035240233,5797503,872
김주환,44569920716,5673822,1130
전윤수,36453016800,5596429,478
조진규,37984870569,5486044,978
김진영,37266982254,5151236,1917
정기훈,36306576689,5031935,1323
권수경,35370121093,4987500,283
창,36160321648,4958860,3
김주호,34614720161,4909950,1
박희곤,36901995024,4782242,1835
이연우,32306658888,4700706,1111
김정훈,36264284473,4693224,765
김홍선,35679875355,4687378,1897
이언희,37983847434,4635798,216
최국희,36995528376,4513328,28
임상수,32651431275,4457758,526
김상진,29134075346,4409069,1540
이용주,32034714900,4361748,2
방은진,29655382745,4237304,1478
김영탁,30970958719,4189522,1036
강효진,32698366436,4157591,2005
장창원,31313568795,4018341,1314
신정원,27312530000,3995721,962
김용균,27609277570,3945298,983
박대민,28886911642,3943853,389
정병길,30132180144,3937908,686
안상훈,27866346828,3791491,185
이원태,32009661265,3745843,2055
김유진,24326406000,3728439,1
조정래,27249801990,3587182,1
황인호,26149494515,3535963,528
문현성,26100051223,3507685,1062
최호,23751953178,3497346,291
정지영,25938096000,3460212,1
조근현,25140544345,3449318,1049
