순위,영화명,매출액,누적매출액,관객수,누적관객수,스크린수,개별배급사,등급,개별장르,개별감독,개별배우,월,년,개별배급사_index,등급_index,개별장르_index,개별감독_index,개별배우_index,일_index
1,극한직업,1.40E+11,1.40E+11,16264806,16264806,2003,씨제이이앤엠(주),15세관람가,코미디,이병헌,류승룡,1,2019,0,0,0,0,0,4
1,극한직업,1.40E+11,1.40E+11,16264806,16264806,2003,씨제이이앤엠(주),15세관람가,코미디,이병헌,이하늬,1,2019,0,0,0,0,1,4
1,극한직업,1.40E+11,1.40E+11,16264806,16264806,2003,씨제이이앤엠(주),15세관람가,코미디,이병헌,진선규,1,2019,0,0,0,0,2,4
1,극한직업,1.40E+11,1.40E+11,16264806,16264806,2003,씨제이이앤엠(주),15세관람가,코미디,이병헌,이동휘,1,2019,0,0,0,0,3,4
1,극한직업,1.40E+11,1.40E+11,16264806,16264806,2003,씨제이이앤엠(주),15세관람가,코미디,이병헌,공명,1,2019,0,0,0,0,4,4
2,기생충,85567642365,85567642365,10047414,10047414,1948,씨제이이앤엠(주),15세관람가,드라마,봉준호,송강호,5,2019,0,0,1,1,5,5
2,기생충,85567642365,85567642365,10047414,10047414,1948,씨제이이앤엠(주),15세관람가,드라마,봉준호,이선균,5,2019,0,0,1,1,6,5
2,기생충,85567642365,85567642365,10047414,10047414,1948,씨제이이앤엠(주),15세관람가,드라마,봉준호,조여정,5,2019,0,0,1,1,7,5
2,기생충,85567642365,85567642365,10047414,10047414,1948,씨제이이앤엠(주),15세관람가,드라마,봉준호,최우식,5,2019,0,0,1,1,8,5
2,기생충,85567642365,85567642365,10047414,10047414,1948,씨제이이앤엠(주),15세관람가,드라마,봉준호,박소담,5,2019,0,0,1,1,9,5
2,기생충,85567642365,85567642365,10047414,10047414,1948,씨제이이앤엠(주),15세관람가,드라마,봉준호,장혜진,5,2019,0,0,1,1,10,5
2,기생충,85567642365,85567642365,10047414,10047414,1948,씨제이이앤엠(주),15세관람가,드라마,봉준호,이정은,5,2019,0,0,1,1,11,5
2,기생충,85567642365,85567642365,10047414,10047414,1948,씨제이이앤엠(주),15세관람가,드라마,봉준호,박명훈,5,2019,0,0,1,1,12,5
2,기생충,85567642365,85567642365,10047414,10047414,1948,씨제이이앤엠(주),15세관람가,드라마,봉준호,현승민,5,2019,0,0,1,1,13,5
2,기생충,85567642365,85567642365,10047414,10047414,1948,씨제이이앤엠(주),15세관람가,드라마,봉준호,정현준,5,2019,0,0,1,1,14,5
3,돈,28869614062,28869614062,3389035,3389035,1431,(주)쇼박스,15세관람가,범죄,박누리,류준열,3,2019,1,0,2,2,15,3
3,돈,28869614062,28869614062,3389035,3389035,1431,(주)쇼박스,15세관람가,범죄,박누리,유지태,3,2019,1,0,2,2,16,3
3,돈,28869614062,28869614062,3389035,3389035,1431,(주)쇼박스,15세관람가,범죄,박누리,조우진,3,2019,1,0,2,2,17,3
3,돈,28869614062,28869614062,3389035,3389035,1431,(주)쇼박스,15세관람가,범죄,박누리,원진아,3,2019,1,0,2,2,18,3
3,돈,28869614062,28869614062,3389035,3389035,1431,(주)쇼박스,15세관람가,범죄,박누리,박명신,3,2019,1,0,2,2,19,3
3,돈,28869614062,28869614062,3389035,3389035,1431,(주)쇼박스,15세관람가,범죄,박누리,이화룡,3,2019,1,0,2,2,20,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,범죄,이원태,마동석,5,2019,2,1,2,3,21,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,액션,이원태,마동석,5,2019,2,1,3,3,21,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,범죄,이원태,마동석,5,2019,3,1,2,3,21,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,액션,이원태,마동석,5,2019,3,1,3,3,21,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,범죄,이원태,김무열,5,2019,2,1,2,3,22,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,액션,이원태,김무열,5,2019,2,1,3,3,22,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,범죄,이원태,김무열,5,2019,3,1,2,3,22,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,액션,이원태,김무열,5,2019,3,1,3,3,22,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,범죄,이원태,김성규,5,2019,2,1,2,3,23,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,액션,이원태,김성규,5,2019,2,1,3,3,23,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,범죄,이원태,김성규,5,2019,3,1,2,3,23,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,액션,이원태,김성규,5,2019,3,1,3,3,23,3
4,악인전,29130540150,29130540150,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,범죄,이원태,문동혁,5,2019,2,1,2,3,24,3
